,Key,CN,outflow_rate,a_l,h_l,v_H
0,0,0.00021582029778613126,0.004845098879822631,0.5294960680364917,0.26793786045398543,0.001528787039609767
1,0,0.0,0.0009576818018163075,0.5273076539139234,0.22103732254354438,0.0016342715817134728
2,0,-4.479942513723461e-06,0.0047120622048919215,0.4713557907412944,0.3541312902057453,5.911074009846071e-05
3,0,0.0012659486043090154,0.0005526658056677155,0.5357973259429842,0.2369128937392486,0.0006058694501280227
4,0,0.00019308433652106378,0.002303228603828842,0.5130999330402375,0.24881519704539798,0.0013649848630877036
5,0,-8.045606407684651e-05,0.0013379369645625688,0.5434025449394682,0.2293471154672704,0.0016715867695207454
6,0,-1.5395705324680247e-05,3.6481046852017124e-05,0.5291055342673199,0.22074649380023245,6.288119404954834e-05
7,0,7.161696372691573e-05,0.0014922554845199915,0.5418419849754792,0.20717015462504246,-0.0024687398128604545
8,0,-7.444334473288054e-05,-0.0015668873239119026,0.4776005245086145,0.34451895228055507,0.00011324154917928595
9,0,0.00017683177905927883,0.0019710824283051477,0.5183913167856755,0.27937023757108853,0.0005476660645801238
10,200,-0.0008267742775721696,0.0008662281134617067,0.5470838470927613,0.21406128009120237,-0.0038892415498994228
11,200,-0.0004942272387531797,-0.0012741738676014273,0.4865914868586896,0.34421683129506914,-2.044008083566232e-05
12,200,0.0014720257628355025,0.0041623395372458955,0.5499946058581389,0.24041739496625325,0.008415749933088095
13,200,0.0018682217696267712,-0.0001269579271963622,0.537748206217802,0.25112222627137626,0.0010167904072713933
14,200,-0.00023772479173025463,0.0023684722561107055,0.5044589782897664,0.32531191885177985,0.001472540674158291
15,200,-0.0003321238062897819,0.0014328314633057027,0.47881213298087066,0.3497195885041105,0.0003887895574805631
16,200,-0.0003867791317090313,-0.00011818044565463793,0.47891645274477807,0.34555021896335636,0.00012732281295305516
17,200,-0.001160109736899272,0.002636420701608479,0.47312388816116147,0.3580335044692913,0.0006316930583880807
18,200,0.0018301211371391673,-0.0007078164864866007,0.48170481037429325,0.36337621972654793,0.0005323655510211502
19,200,0.0003455189808493184,0.0007293613175488223,0.5166344788441846,0.27736711915593804,0.0007274939865566506
20,400,-0.0012743529485850118,-0.00033384594707736904,0.562607606682963,0.2668306611269511,-0.0001489287887335208
21,400,0.00040789102380511274,-0.00025065138306038887,0.5768319632927538,0.2949252705583579,0.003667744911215442
22,400,-0.001580191961124589,0.006766939828353808,0.5607178529093726,0.37618889711905473,-0.0002979992639946228
23,400,-0.0003663295169232731,0.011928545387922169,0.5766879512287418,0.34688357326782304,0.00045067353173670145
24,400,0.00013837808138576614,-0.0019616291383489142,0.5297498019644277,0.2852769878714114,0.00047510173750027446
25,400,0.0017487435714137957,0.0024367922559793065,0.478324633423203,0.39774601534532905,0.0003825771434845552
26,400,0.0016915125051815514,-0.00017189767457424698,0.5042120583294749,0.3414122204988233,0.0007908228201595505
27,400,-0.0002782598613563889,-0.00013892604331902495,0.4857164687592087,0.3741637679284439,0.0004119610687737472
28,400,-6.294824800612071e-05,0.005762222530221426,0.5772675443629982,0.3612262785024716,-0.001900412104561576
29,400,0.00039355647283515535,-0.002456674639987733,0.4731083609031621,0.3899208448533552,-0.0002989812122510656
30,600,0.002374451458283435,0.004563114817355424,0.5943374170678931,0.296733147959511,0.0036154064837048247
31,600,0.0010068177655692958,0.0010634927830879919,0.5013866067398232,0.33328993185389216,0.0006195789405704395
