,Key,CN,outflow_rate,a_l,h_l,v_H
0,0,0.0006242873050657332,0.011274598946113835,0.7359876357942449,0.4655495741132802,0.0028304431327668403
1,0,0.0,0.008151270622356922,0.7821869927976827,0.45856929411233033,0.006848084013212872
2,0,0.00010575445815828708,0.01815419090417606,0.6388551009064047,0.5217135607875726,0.0003423586722865017
3,0,0.0005652227710904678,0.008441685983873733,0.750164076834411,0.45833991684048403,0.0059481038033319476
4,0,0.00012484701980472557,0.008593535480053776,0.7661558253199496,0.4583048263088976,0.005490012754164145
5,0,0.00018624346034094115,0.008883127109050825,0.7593127563807539,0.45563920397025187,0.005353449361871549
6,0,0.00011943536920325538,0.008585844656901216,0.7614395188757229,0.45463841921450493,0.006444054543508912
7,0,0.0017085416459634761,0.005316680075217297,0.7839934801191142,0.45314400689549494,0.0153283777693491
8,0,3.3174198287360934e-05,0.017572464687398055,0.6488984947505214,0.5030666960482251,0.0004509097361557081
9,0,0.0011755677807048918,0.012080624036402978,0.7147180788850306,0.4731196592687699,0.0024254543091264745
10,200,0.0026242933109386817,0.006290761742598923,0.7532017832289991,0.43113659037836366,0.011790822873174919
11,200,0.00024529714119989466,0.01606561975170037,0.6511888994901235,0.5032432340376299,0.0007084491135395419
12,200,0.007264079678779403,0.005720625530443482,0.7718038749273302,0.4365041260851279,0.012651426029689881
13,200,0.004449442833480211,0.0060794484163633694,0.7448974966867029,0.45305514112817574,0.008234324307190436
14,200,0.0037364254656719015,0.013475984083077236,0.6683073701067292,0.4767748141565897,0.002484822234150701
15,200,0.0008492265993186276,0.016582512768335233,0.6411865724834942,0.5021983573440545,0.0005873300294844292
16,200,0.0003624752992987924,0.01600370469766128,0.650158771130019,0.5100768841645886,0.0006488550766731653
17,200,0.0006834937455327294,0.017003002873031983,0.6318259377683025,0.5124652665940584,0.00046625683878079733
18,200,0.0029527251784114694,0.017125948851993665,0.627496662515259,0.502360960051979,0.0005288110220400342
19,200,0.001722386392941884,0.01016602888921508,0.7148345043006069,0.4684150479793167,0.003679112079375003
20,400,0.005494851643230298,0.010018881049162522,0.7272634843466245,0.4268207194455539,0.005389147464703536
21,400,0.014487350038334231,0.0073454525950591085,0.7091194093280573,0.4219492539087549,0.008497807402256632
22,400,0.0023798079628438266,0.0228997178823231,0.6109592371504771,0.4086119239593273,0.0008625494801956967
23,400,0.0005698422137286826,0.029501581439765927,0.630698002845332,0.39113034039047245,0.000361688942616243
24,400,0.0024303089444620966,0.009469963568618735,0.7082533643815688,0.451157060474221,0.004044911691040555
25,400,0.006052192476119441,0.018159313614920274,0.5962930274471819,0.5037738702343075,0.00037371997774659886
26,400,0.0032991135750656615,0.014495500094380725,0.6510526210417024,0.49076429719568326,0.0011560672774717977
27,400,0.004459382461294623,0.016764814606082458,0.6087722027050742,0.507884181477347,0.0006575793198985105
28,400,0.0010715740189023543,0.038781679565596056,0.6198073081503456,0.38333363309087387,0.0034126619195058573
29,400,0.004696773500755836,0.017636669287645033,0.5959512539926511,0.5063509713668318,0.0004054550273598425
30,600,0.018631253013642563,0.011812353440705402,0.6860590680992671,0.38048917058232307,0.012004898636607537
31,600,0.005231276164387023,0.014001060926544366,0.662104753721714,0.4787468993325393,0.0021331594957986004
32,600,0.009570281581464748,0.012427071003799611,0.6541019082946843,0.46245236884745006,0.0019216142528317055
33,600,0.004136811956843734,0.018637039627568557,0.6006174037394624,0.46724105182617504,0.0007138786053369661
34,600,0.006295432875402957,0.017066428786181035,0.6152652457166965,0.5012042524690665,0.0007088338356969814
35,600,0.0077737578092796,0.007257848501543038,0.6883380035402433,0.42766670303258547,0.004157838362016247
