,Key,lon,lat,minyr,maxyr,dGp,dTWS,dETland,dETlake,dQ,dQout,dWbal,diffTWS,pmean,dN,dSW
0,0,37.5,30.5,2003,2002,0.022015637832656698,-3.9729643475820353,-0.22284372094372884,35.24176748868558,0.2417629790122161,-1.7137967148183861,-3.152237844280421,-1.6098208009434387,32.636475,9,2.7418976
1,0,10.5,17.5,2005,2013,0.02092278452856533,-2.736313427819084,-3.4068820901219965,38.833210057448014,3.9626728346119537,-1.655560608671692,-0.6515735280144099,2.0964891207282363,128.8075,11,3.4120483
2,0,63.5,36.5,2012,2008,0.0688699481023689,-14.972525846426777,-15.543457274627713,224.7020828283712,15.930565140650142,-1.9050509584881752,-8.29059982261407,-6.576053959974246,184.6484,45,13.57869
3,0,61.5,25.5,2009,2006,0.020183689038842045,7.234973583789099,-25.194056919182856,59.463807883440495,25.55436554665057,11.357908747514273,15.592477109176798,5.370359236414174,79.47121,18,-2.9027405
4,0,225.5,61.5,2008,2003,0.17687020473063808,-3.3588394485956883,-15.215936851428864,79.5898291079925,17.168620917994946,1.443596666829876,5.590987451586329,9.941037913673767,181.79224,150,3.8074417
5,0,81.5,31.5,2016,2009,0.07327886194439348,-1.218449151266725,-20.96440458708861,64.5371436527339,8.322201408155797,0.5727200479367127,12.356979002860726,11.569174727312557,170.94418,45,4.724869
6,0,6.5,33.5,2003,2013,0.040442857182393266,-2.238429796264313,-8.602524990467202,41.13439284237256,12.272489111955178,0.5041062741599376,3.57842217635158,3.1247265296081537,64.72616,18,-1.0799866
7,0,110.5,43.5,2003,2006,0.05617730549636468,-8.06155228627864,-26.447515320578304,50.74430327634491,6.876708602173149,-2.7477622240201356,19.003108387736006,21.476094389356263,138.61977,45,3.5328522
8,0,50.5,23.5,2005,2008,0.012604365085819635,-13.4338208395111,-3.7922841465352803,169.59324325690613,3.8173818260699632,-5.726585924868601,-12.973607751331429,-7.819680418949545,29.376898,9,13.414352
9,0,91.5,50.5,2013,2011,0.055982249109655546,4.6988152261134815,22.056780697328236,115.04637415386969,1.0957085559016317,0.7244901323428508,-31.428177414544848,-32.08021853365406,177.7662,31,11.315872
10,0,348.5,20.5,2003,2014,0.044770364526678375,-6.543391829407824,-25.44794593491082,95.40801052726147,14.830031351804172,-2.632968775567633,13.62565098575135,15.995322883762555,63.186146,32,5.4235535
11,0,1.5,25.5,2006,2016,0.02430224383743007,3.43230167113785,1.9672800044071437,-36.69902930584249,0.30433234498913825,2.05328309282703,1.6940221201956547,-0.4599093734117048,12.979536,15,-2.3437805
12,0,23.5,26.5,2009,2013,0.019836279043316085,0.07454247091328625,0.0012105881025092913,6.915292546877026,0.0004107836983472434,-0.004024471481329783,-0.6922163318073444,-0.6885943074735792,1.3501043,6,1.2471161
13,0,47.5,29.5,2002,2011,0.031028260881787117,2.644068137070178,-37.602202912087535,95.02562803474575,37.569168345926705,9.63148744320165,23.376264981474947,14.707926282594698,23.23601,36,-5.397827
14,0,245.5,34.5,2005,2010,0.04512850157432602,-4.7480791657780514,-57.36547279989236,360.4576223908489,61.773520564773385,13.784942589564253,14.204677647035794,1.7982293164276086,94.52091,36,5.34848
15,0,74.5,46.5,2016,2014,0.102500006002324,-10.83490429413331,-38.765539767168036,263.1251569892347,25.326455471461244,-0.6782151057917076,8.644272440216184,5.1925578008464015,143.2965,89,11.547241
16,0,55.5,24.5,2016,2008,0.02640734912467868,4.089303682216496,-15.524957835611815,160.00688968275017,16.938671645541348,4.5945317405777075,-2.4876842985382837,-6.622762865057467,44.522808,24,7.3193817
