"","basin_id","coef_P","se_P","pval_P","coef_T","se_T","pval_T","coef_Gp","se_Gp","pval_Gp","R2","model_pval"
"1",3403,0.00084967957539895,0.00840452623837039,0.920168529156144,0.0402243255641283,0.406038349035448,0.921768019993116,-2.95884516435264,6.61181381433772,0.657832663567195,0.995670813457382,0.884008972802563
"2",3220,0.00217430270910164,0.00232634275903631,0.354960253212551,-0.129138323421517,0.933949946750577,0.89064303440468,13.1848095556736,7.65251414811056,0.0917661026384125,0.924628079728023,0.385131968413279
"3",3426,-0.000112238176353802,0.00132957341644889,0.933001584797941,1.24681679054497,1.17447051061065,0.29260278693835,-17.4574966248378,8.46811970110313,0.0435185453085526,0.910476390631597,0.237421166212244
"4",3211,0.00386551717512101,0.00475177563341558,0.416961395913115,0.640426831131308,0.315615551118731,0.0438470410862476,1.10659053253058,5.70974527316198,0.846534877814281,0.882162766890015,0.11731467350976
"5",3244,-0.000441411754546938,0.00168949759614262,0.794149375977976,4.3492350091283,1.0540888397615,5.37380730388944e-05,6.62975454533853,6.92419230736859,0.339459905808763,0.759626594771338,0.000147906093261932
"6",3209,-0.00481556751645088,0.0019767008103696,0.0156980004100827,3.518751981995,0.89132492635308,0.000108393857277688,-7.59500945631546,5.90066336272465,0.199495140547768,0.896526114580468,0.000478562325129852
"7",3420,-0.00568264782085634,0.00198688918736363,0.00544873187294841,5.55655874464061,3.80030408270619,0.147773663363834,-36.5411167217054,18.3433695493491,0.0499095219814683,0.979352017878898,0.00505910159704629
"8",3404,-0.0139916697713943,0.00255162727449812,1.45808950104371e-07,3.93876816091038,4.27480345290476,0.358129102118322,6.5363198845188,13.3275919063109,0.624447438504057,0.818506702524766,1.00735195802491e-07
"9",3217,0.000589499050269101,0.00308287189654071,0.84854444561508,-1.62863340732798,0.779402803954185,0.0378881875092231,-18.2413826556185,9.29600892660388,0.051082926351485,0.481556951657895,0.0238722649723801
"10",5436,-0.000420581044034878,0.000295621947023294,0.164208324135226,-0.538652610394617,0.761618093980628,0.484377488712828,-2.66622689290704,2.71314974669533,0.332902790938457,0.924546353424752,0.520513368164244
"11",5406,-0.00043454900925272,0.00021836317496232,0.0495242528391012,-0.542173023862757,0.354432337111509,0.129486903463279,0.0541529244796867,1.83528659330727,0.976523845635619,0.874928970319325,0.158327160010767
"12",3401,0.000289074702137265,0.000984443557763731,0.769820938713884,3.54582861868313,1.31503035046973,0.00860606678932641,21.2954253485005,12.2876509471008,0.0870854188590929,0.810166778546193,0.0356717930412233
"13",3210,0.000687962982553235,0.00022372138049727,0.00216621236305863,-0.0557334115812019,0.0794876719747389,0.483380808470329,-0.0520080755630564,1.24765461944797,0.966759067696278,0.54500297442466,0.0143459151620809
"14",3408,0.000747029816622165,0.00125375503862528,0.555908393985378,0.971790952018332,0.90923340133557,0.293974887195336,9.64015955260488,12.0590553508645,0.430550716558545,0.856725431668222,0.407671592692832
"15",3419,0.00143973237662845,0.000465414035754145,0.00298369854722225,0.0780320846994044,0.224101565561365,0.728889075146558,-14.4501577563505,3.47607394551267,0.000102307853084953,0.865797833536733,0.000526028576635378
"16",3429,-0.000212958128909821,0.000277214363925616,0.445327810499997,-0.3035977928367,0.11483763845931,0.0104093201395474,5.27720775281341,2.90747363363279,0.0744331842421067,0.95137626707198,0.0102210758158403
"17",5433,-0.00196829936276337,0.00130388457396902,0.137576180723037,-0.748698586690837,0.615816346657224,0.229892892420597,-14.5231158659276,6.97893143389717,0.0426827391679424,0.820437397157083,0.0534474581189768
"18",5403,0,0,NA,0,0,NA,0,0,NA,1,NA
"19",3422,0.000584771775753485,0.000752663236413785,0.441261187962554,0.0117831854793136,0.30554250718047,0.969407951540872,4.81746958494217,4.42947842054913,0.282565915570297,0.980624088844061,0.530004966221973
"20",3232,0.000774398274761509,0.000767384422565399,0.313171420808434,1.98028252242117,0.321102406920324,1.03788393589345e-09,-20.9933638065874,4.28319799648208,1.1237278790476e-06,0.695683135148997,6.71178912556488e-13
"21",3428,-0.00277285686801342,0.00111001866512983,0.0162107488409633,0.269685509242749,1.1161948947131,0.810178849066451,13.0220276257155,16.6378269937372,0.43791693391623,0.958507845357429,0.0522501125220214
"22",3212,0.00376772328246001,0.00138551948848568,0.00658681699237408,0.726485770743878,0.477131313483613,0.12798433100056,-9.69579241505197,7.84000403864962,0.216313668415873,0.562745839532177,0.0116326447270977
"23",5437,0.00138403694632366,0.00101918408502252,0.183681476294477,0.693561647681882,0.813261210754828,0.399909289021896,-10.681960956324,6.30259767090003,0.0995218756269204,0.876354107877075,0.144731533414627
"24",3405,-0.00237111905529385,0.00139262127951754,0.0911227379388639,-0.119474714156528,0.647251138834231,0.853851435736994,-23.0453982375022,8.89298877463272,0.0106953775203394,0.943908284725913,0.0139230098443935
"25",3243,0.00461964850557203,0.000301839404234623,1.03435162328165e-50,-1.57317222287831,0.17653952988061,9.24263279888897e-19,1.77730537679355,4.17017692845761,0.670001313716105,0.818133598575498,1.70343877439568e-64
"26",5309,0.0087285003284554,0.000280473359980888,4.33450896530046e-195,-0.187576915705522,0.0561244575664843,0.000837178749042136,2.2922355948072,1.84840378099465,0.21498852140864,0.728531804199301,4.56857404632077e-226
"27",3423,0.0139876763521294,0.00582804676488506,0.0194596919791483,2.1062072600991,2.08532864659507,0.316479148584408,-91.7409361793637,61.2854493095099,0.139564303268359,0.833853865973055,0.0717196251043854
"28",3238,0.00742406583400261,0.000231006995329729,3.43262764032407e-219,-0.675765599328579,0.108427358422236,4.71577778126023e-10,-22.6083827507428,2.53508564675916,5.28013161278417e-19,0.396311466484716,0
"29",1304,0.000655235392596224,0.000333960418906656,0.0511010119162443,0.0353357271076394,0.05958980091628,0.553839949791762,0.927588277912592,1.32834169190924,0.485769901651657,0.963328421998649,0.24035734419205
"30",5302,-0.000119894937148297,0.000952942373214543,0.900143840600612,0.102136751407568,0.0812670786147972,0.211906186253781,0.492488302247901,6.17951031701461,0.936645906084139,0.698403113273046,0.540000340789146
"31",3230,0.00196162240078797,0.00044652601164567,1.48428688791467e-05,-0.338108033174652,0.231248922004647,0.144614868607713,-11.3524979826103,5.8980935550012,0.0550702150298032,0.950045058526715,2.18501396454128e-06
"32",1213,0.00121388801895596,0.000597971555361646,0.0436350535455751,-0.308809109824808,0.116700412223813,0.0087663496836234,1.38959834641314,2.31737805459315,0.549400314012099,0.932225280006128,0.00229475495080634
"33",1305,0.00170882106980442,0.00087707122001331,0.0532301196715109,0.578887282272259,0.180237424494718,0.00161218000827826,-9.05623027219653,4.16895498458021,0.0313930038619022,0.949278590555494,0.00389631880028016
"34",5904,9.7916140768815e-05,0.00106959380460635,0.927093815404266,0.0622616745330282,0.157353995159215,0.692500160786153,4.04431890847429,2.33112881342664,0.0833332689875359,0.812426318965413,0.346563668743008
"35",5902,0.00432372499904554,0.000179747862632872,4.54624043248857e-122,-0.285642936425366,0.0241588650950973,6.72125181609016e-32,-14.3032178013479,1.17878824476102,1.73974569450847e-33,0.763715199139703,1.32808036981701e-238
"36",1234,0.00222163999791685,0.000134652820476344,1.32068014389051e-59,-0.666552330759147,0.0381757342390485,2.47464221088474e-66,5.19334230131538,0.992357871263242,1.73212408996815e-07,0.750143925643457,4.27264395378303e-142
"37",1306,0.0013488605273755,0.000591617573200717,0.0245565011619767,-0.253061597970749,0.119647280052294,0.0367031179467646,-1.52489445711004,3.57854887496537,0.67086005594622,0.956089275965404,0.0297117061645332
"38",5903,0.00405472549340215,0.000745114052789913,2.61501661846736e-07,0.327500194116811,0.080756194879489,8.67486054798495e-05,4.67821704319222,2.49109503094804,0.0626776451803865,0.973996102500786,3.31302950439542e-11
"39",3248,0.00606702742091741,0.000284285499054191,1.39285548089141e-88,-0.832515307760837,0.280431738398737,0.00303762032908091,2.25412716550373,4.91396747796641,0.64650213021387,0.839305639557237,1.77908663325181e-91
"40",3908,0.00486310828424872,0.000669176559944134,8.90362335137469e-13,-0.97076536171667,0.297936937313428,0.00116931488652855,-60.9660776277131,7.35100988882189,4.79401463321718e-16,0.876032487256176,2.51186073234288e-41
"41",3414,-0.000629457210565321,0.00507025896369286,0.901751819620651,-0.203641160424727,1.14011947240754,0.859042622093435,22.3618080066526,8.7656069031505,0.0142089889403689,0.980805631986112,0.0165641753818551
"42",5901,0.00370072219337189,0.000309481279225382,1.67125708835032e-28,-0.128783844926627,0.0672365078980839,0.0561336323196466,4.68215765641537,2.39466549024908,0.0512282022563968,0.94297648659063,2.07929156772135e-30
"43",3224,0.00271171549413264,0.000274382171924988,6.89410292878753e-21,-0.672893704961549,0.303551545979599,0.0271648387632475,-0.36911620540245,2.90010192915159,0.898780817694034,0.936018440066,5.28138887672173e-21
"44",3412,0.0124962032255212,0.0039411436595489,0.00248618080298812,0.386401188179931,0.137573003792532,0.00687266435506986,-7.1060828148016,11.9701983583313,0.555181393005134,0.972357559395606,0.00113939636572123
"45",1324,0.001606805498994,0.000416160146016557,0.000181402260503831,-0.0427646439605846,0.0882243308555457,0.628732690249548,6.67291641596043,2.55076475745207,0.0100096036979001,0.982039295911174,0.000280168949552437
"46",3409,-0.0046220728827865,0.00204850064831417,0.026925512602977,-0.558782386220562,0.175552959132864,0.00211267152187123,-2.92932273553579,2.83638349517107,0.304988349894784,0.990285881916453,0.00600293289362854
